brand,category_value
Weston,Boot and Shoe Dryer
Weston,Burger Presses
Weston,Butcher Saws
Weston,Citrus Juicer
Weston,Cone Strainer
Weston,Corn Accessories
Weston,Deep Fryer
Weston,Food Dehydrators
Weston,Food Mills
Weston,Fry Cutters
Weston,Home Canning Set
Weston,Jerky Guns
Weston,Jerky Slicers
Weston,Juice Extractor
Weston,Logos
Weston,Marinade Injector
Weston,Meat Grinder-Sausage Stuffers
Weston,Meat Grinders
Weston,Meat Lug
Weston,Meat Mixers
Weston,Meat Packaging Supplies
Weston,Meat Slicers
Weston,Meat Tenderizer/Cuber
Weston,Pasta Drying Rack
Weston,Processing Knife Sets
Weston,Sausage Stuffers
Weston,Silicone Spray
Weston,Slow Cookers
Weston,Smoke Infuser
Weston,Sous Vide Cookers
Weston,Tomato Strainers
Weston,Turkey Lifter
Weston,Vacuum Sealers
